DisplayName,username,email,UPN,OU,password,company,department
Max Tilus,a-mtilus,a-mtilus@myazurelab.com,a-mtilus@myazurelab.com,"OU=Admins,DC=myazurelab,DC=com",password#1,IronPacket,Admins
Sau Ahlquist,a-sahlquist,a-sahlquist@myazurelab.com,a-sahlquist@myazurelab.com,"OU=Admins,DC=myazurelab,DC=com",password#1,IronPacket,Admins
Rozella Loveless,a-rloveless,a-rloveless@myazurelab.com,a-rloveless@myazurelab.com,"OU=Admins,DC=myazurelab,DC=com",password#1,IronPacket,Admins
Rosita Sandberg,a-rsandberg,a-rsandberg@myazurelab.com,a-rsandberg@myazurelab.com,"OU=Admins,DC=myazurelab,DC=com",password#1,IronPacket,Admins
Keila Popek,a-kpopek,a-kpopek@myazurelab.com,a-kpopek@myazurelab.com,"OU=Admins,DC=myazurelab,DC=com",password#1,IronPacket,Admins
Florentino Sterling,a-fsterling,a-fsterling@myazurelab.com,a-fsterling@myazurelab.com,"OU=Admins,DC=myazurelab,DC=com",password#1,IronPacket,Admins
Khalilah Menefee,kmenefee,kmenefee@myazurelab.com,kmenefee@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Shawnee Wolford,swolford,swolford@myazurelab.com,swolford@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Noreen Horiuchi,nhoriuchi,nhoriuchi@myazurelab.com,nhoriuchi@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Pearlene Gaynor,pgaynor,pgaynor@myazurelab.com,pgaynor@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Earlie Beane,ebeane,ebeane@myazurelab.com,ebeane@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Annetta Fasching,afasching,afasching@myazurelab.com,afasching@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Jacob Sherry,jsherry,jsherry@myazurelab.com,jsherry@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Taisha Cofield,tcofield,tcofield@myazurelab.com,tcofield@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Zachariah Varian,zvarian,zvarian@myazurelab.com,zvarian@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Chantel Priebe,cpriebe,cpriebe@myazurelab.com,cpriebe@myazurelab.com,"OU=Management,DC=myazurelab,DC=com",password#1,IronPacket,Management
Raul Casady,rcasady,rcasady@myazurelab.com,rcasady@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Clemente Kurt,ckurt,ckurt@myazurelab.com,ckurt@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Lean Buechler,lbuechler,lbuechler@myazurelab.com,lbuechler@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Cristy Conboy,cconboy,cconboy@myazurelab.com,cconboy@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Betty Abshire,babshire,babshire@myazurelab.com,babshire@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Raymond Chavarria,rchavarria,rchavarria@myazurelab.com,rchavarria@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Maxine Leone,mleone,mleone@myazurelab.com,mleone@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
Pok Kardos,pkardos,pkardos@myazurelab.com,pkardos@myazurelab.com,"OU=IT,DC=myazurelab,DC=com",password#1,IronPacket,IT
